후보,선거일,선거,선거구분,구분1,구분2,기호,정당,당락
문재인,2017.05.09,19대,대통령선거,전국,전국,기호 1번,더불어민주당,당선
김선동,2017.05.09,19대,대통령선거,전국,전국,기호 10번,민중연합당,낙선
이경희,2017.05.09,19대,대통령선거,전국,전국,기호 12번,한국국민당,낙선
윤홍식,2017.05.09,19대,대통령선거,전국,전국,기호 14번,홍익당,낙선
김민찬,2017.05.09,19대,대통령선거,전국,전국,기호 15번,무소속,낙선
홍준표,2017.05.09,19대,대통령선거,전국,전국,기호 2번,자유한국당,낙선
안철수,2017.05.09,19대,대통령선거,전국,전국,기호 3번,국민의당,낙선
유승민,2017.05.09,19대,대통령선거,전국,전국,기호 4번,바른정당,낙선
심상정,2017.05.09,19대,대통령선거,전국,전국,기호 5번,정의당,낙선
조원진,2017.05.09,19대,대통령선거,전국,전국,기호 6번,새누리당,낙선
오영국,2017.05.09,19대,대통령선거,전국,전국,기호 7번,경제애국당,낙선
장성민,2017.05.09,19대,대통령선거,전국,전국,기호 8번,국민대통합당,낙선
이재오,2017.05.09,19대,대통령선거,전국,전국,기호 9번,늘푸른한국당,낙선
